iter	Passed	Remaining
0	17	1700784
1	32	1641337
2	50	1687746
3	66	1657246
4	82	1654465
5	119	1987384
6	140	2011177
7	156	1955634
8	172	1911128
9	187	1872544
10	204	1859479
11	220	1835676
12	236	1815228
13	251	1796171
14	269	1794669
15	286	1789049
16	302	1780801
17	319	1776915
18	339	1785630
19	360	1804635
20	419	1998470
21	471	2143649
22	514	2235540
23	531	2215166
24	550	2203029
25	570	2194215
26	595	2203708
27	610	2179953
28	627	2162241
29	643	2145297
30	661	2132049
31	679	2121252
32	696	2109678
33	714	2100768
34	744	2125414
35	760	2112329
36	778	2104157
37	794	2091012
38	811	2080500
39	826	2066442
40	843	2056315
41	860	2048710
42	877	2039649
43	892	2027977
44	909	2020078
45	924	2009858
46	940	2000436
47	955	1989072
48	970	1979391
49	986	1972466
50	1005	1970657
51	1037	1993479
52	1066	2011378
53	1095	2028346
54	1123	2040911
55	1146	2046483
56	1176	2063333
57	1204	2075217
58	1231	2086511
59	1257	2095016
60	1273	2085961
61	1288	2076395
62	1303	2068403
63	1319	2060861
64	1337	2055903
65	1352	2048008
66	1367	2040329
67	1382	2032393
68	1399	2026471
69	1416	2022410
70	1433	2017652
71	1449	2011506
72	1465	2005517
73	1481	2001116
74	1499	1997920
75	1515	1991932
76	1532	1988259
77	1548	1983626
78	1563	1977986
79	1581	1974828
80	1596	1969841
81	1613	1965728
82	1629	1961144
83	1646	1958798
84	1663	1955457
85	1679	1951767
86	1695	1946821
87	1710	1941902
88	1727	1938731
89	1742	1933921
90	1759	1931375
91	1776	1929026
92	1793	1926332
93	1810	1924177
94	1826	1920516
95	1842	1917531
96	1859	1914941
97	1876	1912982
98	1893	1910559
99	1910	1908524
100	1927	1906686
101	1943	1903454
102	1958	1899592
103	1975	1897706
104	1992	1896026
105	2008	1892892
106	2024	1889677
107	2041	1887909
108	2058	1886143
109	2073	1882865
110	2088	1879445
111	2104	1876764
112	2120	1874846
113	2136	1872231
114	2152	1869623
115	2167	1866724
116	2183	1863725
117	2199	1861833
118	2216	1860329
119	2233	1858722
120	2248	1856374
121	2265	1854310
122	2279	1851306
123	2295	1849314
124	2312	1847747
125	2329	1846502
126	2346	1845314
127	2361	1842544
128	2377	1840690
129	2393	1839018
130	2409	1836879
131	2426	1835943
132	2442	1834128
133	2457	1831589
134	2473	1829876
135	2492	1830072
136	2507	1828144
137	2522	1825724
138	2540	1824994
139	2557	1823981
140	2573	1822302
141	2588	1820169
142	2604	1818538
143	2621	1817721
144	2638	1817250
145	2656	1816542
146	2671	1814522
147	2688	1813537
148	2703	1811988
149	2721	1811368
150	2736	1809736
151	2753	1809001
152	2771	1808519
153	2787	1807541
154	2803	1805783
155	2818	1804153
156	2834	1802438
157	2853	1802917
158	2868	1801378
159	2884	1799770
160	2899	1798101
161	2916	1797376
162	2933	1796771
163	2949	1795462
164	2967	1795318
165	2982	1793626
166	2999	1793324
167	3016	1792227
168	3033	1791989
169	3049	1790523
170	3065	1789734
171	3081	1788404
172	3098	1787657
173	3116	1787998
174	3132	1787056
175	3148	1785764
176	3165	1785432
177	3181	1784314
178	3196	1782807
179	3213	1782257
180	3230	1781691
181	3246	1780610
182	3263	1780260
183	3281	1780346
184	3297	1779334
185	3315	1778960
186	3330	1777946
187	3346	1776668
188	3362	1775690
189	3378	1774596
190	3394	1773686
191	3411	1773198
192	3426	1772109
193	3443	1771638
194	3459	1770521
195	3474	1769482
196	3490	1768305
197	3505	1766871
198	3521	1766036
199	3537	1765030
200	3553	1764184
201	3569	1763441
202	3584	1762289
203	3600	1761241
204	3615	1760161
205	3631	1759287
206	3647	1758444
207	3663	1757477
208	3678	1756332
209	3693	1755352
210	3709	1754445
211	3726	1754272
212	3743	1753874
213	3759	1752845
214	3773	1751429
215	3789	1750520
216	3804	1749631
217	3821	1749359
218	3839	1749581
219	3857	1749608
220	3874	1749115
221	3891	1748866
222	3906	1747874
223	3924	1747897
224	3939	1746941
225	3955	1746185
226	3971	1745425
227	3986	1744475
228	4001	1743568
229	4018	1743352
230	4036	1743247
231	4052	1742508
232	4069	1742474
233	4084	1741577
234	4099	1740549
235	4115	1739711
236	4131	1739050
237	4148	1738784
238	4163	1737904
239	4180	1737761
240	4197	1737704
241	4213	1736845
242	4230	1736615
243	4245	1735830
244	4261	1735062
245	4277	1734668
246	4293	1733794
247	4307	1732745
248	4324	1732227
249	4339	1731444
250	4355	1731002
251	4371	1730291
252	4387	1729905
253	4403	1729140
254	4418	1728392
255	4436	1728388
256	4452	1727866
257	4468	1727523
258	4484	1727082
259	4501	1726936
260	4517	1726205
261	4533	1725836
262	4549	1725165
263	4566	1725052
264	4581	1724373
265	4599	1724363
266	4614	1723613
267	4630	1723014
268	4648	1723254
269	4665	1723176
270	4680	1722556
271	4696	1721882
272	4712	1721465
273	4727	1720660
274	4743	1720316
275	4759	1719721
276	4775	1719283
277	4790	1718536
278	4807	1718399
279	4823	1717891
280	4841	1718279
281	4858	1718172
282	4876	1718159
283	4891	1717478
284	4908	1717436
285	4925	1717449
286	4941	1717006
287	4958	1716898
288	4974	1716390
289	4989	1715412
290	5005	1715105
291	5022	1715011
292	5039	1714781
293	5057	1715097
294	5073	1714605
295	5088	1713975
296	5104	1713719
297	5120	1713207
298	5136	1712904
299	5153	1712670
300	5170	1712712
301	5186	1712226
302	5202	1711781
303	5218	1711237
304	5234	1710879
305	5251	1710820
306	5267	1710612
307	5284	1710312
308	5300	1710094
309	5316	1709628
310	5331	1708935
311	5348	1709036
312	5365	1708910
313	5403	1715399
314	5422	1716161
315	5438	1715665
316	5454	1715087
317	5469	1714530
318	5485	1713966
319	5500	1713373
320	5517	1713385
321	5533	1712902
322	5548	1712398
323	5566	1712383
324	5582	1712046
325	5599	1711976
326	5614	1711409
327	5631	1711163
328	5646	1710741
329	5662	1710237
330	5677	1709666
331	5693	1709185
332	5708	1708543
333	5725	1708579
334	5741	1708199
335	5758	1707948
336	5774	1707599
337	5792	1707826
338	5808	1707752
339	5825	1707648
340	5842	1707400
341	5858	1707282
342	5875	1706957
343	5892	1706970
344	5908	1706825
345	5925	1706694
346	5941	1706218
347	5957	1705909
348	5974	1705909
349	5991	1705792
350	6007	1705453
351	6023	1705186
352	6041	1705291
353	6057	1704984
354	6074	1704943
355	6090	1704862
356	6107	1704772
357	6123	1704351
358	6139	1704157
359	6155	1703754
360	6170	1703165
361	6186	1702897
362	6202	1702594
363	6220	1702650
364	6237	1702605
365	6253	1702400
366	6270	1702328
367	6287	1702230
368	6304	1702287
369	6321	1702205
370	6337	1701920
371	6355	1702101
372	6370	1701614
373	6386	1701343
374	6402	1700834
375	6419	1700895
376	6436	1700779
377	6452	1700487
378	6468	1700268
379	6484	1700024
380	6502	1700080
381	6517	1699723
382	6534	1699598
383	6551	1699489
384	6568	1699446
385	6583	1698976
386	6599	1698710
387	6616	1698594
388	6633	1698520
389	6649	1698451
390	6666	1698321
391	6681	1697868
392	6697	1697600
393	6713	1697201
394	6730	1697153
395	6748	1697323
396	6764	1697070
397	6780	1696812
398	6797	1696754
399	6815	1697041
400	6830	1696596
401	6847	1696404
402	6863	1696129
403	6878	1695715
404	6893	1695201
405	6909	1694845
406	6924	1694505
407	6941	1694445
408	6957	1694243
409	6975	1694257
410	6992	1694294
411	7007	1693900
412	7024	1693823
413	7041	1693774
414	7058	1693683
415	7073	1693345
416	7089	1692944
417	7106	1692911
418	7122	1692643
419	7137	1692180
420	7154	1692291
421	7171	1692165
422	7186	1691848
423	7202	1691600
424	7224	1692567
425	7269	1699246
426	7300	1702505
427	7323	1703829
428	7351	1706383
429	7376	1708115
430	7393	1707989
431	7410	1707876
432	7425	1707567
433	7442	1707385
434	7457	1706952
435	7474	1706797
436	7491	1706814
437	7506	1706406
438	7522	1705993
439	7538	1705758
440	7554	1705504
441	7570	1705138
442	7587	1705126
443	7603	1704840
444	7619	1704561
445	7635	1704345
446	7651	1704060
447	7666	1703691
448	7682	1703354
449	7698	1702985
450	7714	1702916
451	7730	1702541
452	7746	1702258
453	7762	1702125
454	7780	1702117
455	7796	1701999
456	7812	1701763
457	7828	1701404
458	7843	1701078
459	7859	1700694
460	7875	1700397
461	7891	1700159
462	7907	1700049
463	7923	1699657
464	7938	1699296
465	7955	1699188
466	7972	1699109
467	7989	1699092
468	8004	1698761
469	8021	1698785
470	8038	1698571
471	8053	1698202
472	8070	1698092
473	8085	1697727
474	8101	1697499
475	8118	1697428
476	8135	1697383
477	8151	1697089
478	8166	1696824
479	8181	1696399
480	8198	1696193
481	8213	1695798
482	8230	1695756
483	8247	1695858
484	8263	1695620
485	8279	1695411
486	8296	1695320
487	8312	1694993
488	8328	1694941
489	8346	1694924
490	8362	1694713
491	8378	1694568
492	8395	1694550
493	8411	1694260
494	8427	1694011
495	8442	1693597
496	8459	1693664
497	8476	1693590
498	8493	1693531
499	8509	1693468
500	8529	1693928
501	8544	1693573
502	8561	1693550
503	8577	1693254
504	8594	1693223
505	8611	1693193
506	8626	1692867
507	8642	1692709
508	8658	1692426
509	8675	1692361
510	8690	1692019
511	8707	1692041
512	8723	1691687
513	8738	1691344
514	8755	1691284
515	8771	1691090
516	8789	1691248
517	8804	1690884
518	8820	1690709
519	8836	1690432
520	8852	1690369
521	8868	1690065
522	8884	1689892
523	8901	1689894
524	8918	1689850
525	8934	1689574
526	8949	1689333
527	8965	1689084
528	8982	1689109
529	8998	1688742
530	9014	1688700
531	9031	1688641
532	9048	1688582
533	9065	1688552
534	9081	1688330
535	9097	1688117
536	9113	1687918
537	9129	1687852
538	9145	1687653
539	9162	1687596
540	9178	1687485
541	9197	1687835
542	9214	1687815
543	9230	1687586
544	9247	1687597
545	9265	1687634
546	9282	1687684
547	9299	1687675
548	9315	1687561
549	9331	1687372
550	9349	1687411
551	9365	1687323
552	9382	1687274
553	9397	1686965
554	9414	1686964
555	9429	1686489
556	9445	1686411
557	9462	1686320
558	9479	1686266
559	9495	1686054
560	9511	1686000
561	9527	1685815
562	9543	1685514
563	9560	1685486
564	9576	1685457
565	9591	1685107
566	9607	1684766
567	9622	1684465
568	9637	1684130
569	9653	1683861
570	9668	1683541
571	9683	1683259
572	9699	1683034
573	9715	1682843
574	9732	1682836
575	9749	1682795
576	9765	1682754
577	9782	1682750
578	9798	1682459
579	9813	1682229
580	9828	1681872
581	9845	1681834
582	9862	1681757
583	9878	1681719
584	9894	1681503
585	9909	1681201
586	9924	1680775
587	9940	1680536
588	9956	1680484
589	9971	1680182
590	9987	1679866
591	10002	1679589
592	10018	1679381
593	10033	1679118
594	10048	1678813
595	10064	1678645
596	10081	1678597
597	10099	1678706
598	10115	1678605
599	10131	1678404
600	10148	1678382
601	10163	1678175
602	10180	1678150
603	10195	1677853
604	10211	1677633
605	10226	1677316
606	10242	1677129
607	10257	1676884
608	10275	1676951
609	10291	1676769
610	10306	1676543
611	10322	1676365
612	10338	1676123
613	10368	1678299
614	10391	1679330
615	10407	1679066
616	10423	1678935
617	10440	1678880
618	10455	1678715
619	10472	1678672
620	10488	1678550
621	10505	1678454
622	10521	1678267
623	10537	1678191
624	10553	1677984
625	10568	1677705
626	10584	1677580
627	10600	1677364
628	10615	1677061
629	10632	1677030
630	10647	1676747
631	10662	1676486
632	10680	1676527
633	10695	1676245
634	10711	1676163
635	10728	1676111
636	10743	1675789
637	10758	1675486
638	10775	1675550
639	10791	1675304
640	10807	1675265
641	10822	1674981
642	10838	1674835
643	10855	1674795
644	10870	1674502
645	10887	1674520
646	10904	1674470
647	10919	1674257
648	10936	1674185
649	10951	1673898
650	10967	1673698
651	10983	1673673
652	11000	1673642
653	11017	1673616
654	11034	1673569
655	11049	1673351
656	11066	1673374
657	11082	1673129
658	11099	1673158
659	11115	1673028
660	11131	1672838
661	11146	1672603
662	11167	1673181
663	11185	1673311
