iter	Logloss
0	0.6674008817
1	0.6434526853
2	0.6208606415
3	0.5999464263
4	0.5806834925
5	0.562698408
6	0.5460040145
7	0.5306583597
8	0.5163976775
9	0.5031379905
10	0.4908099171
11	0.4793660516
12	0.4687677421
13	0.4587279538
14	0.4496049907
15	0.4410857408
16	0.4329647881
17	0.4255474998
18	0.4187348031
19	0.4122696255
20	0.4062777617
21	0.4006923248
22	0.3953190933
23	0.3903157445
24	0.3859069038
25	0.3816934007
26	0.3777591561
27	0.3739668771
28	0.3706447004
29	0.3675345639
30	0.3644465977
31	0.3616956542
32	0.3592033435
33	0.3566293061
34	0.3544670546
35	0.3523267089
36	0.3503548731
37	0.3484907838
38	0.3467311104
39	0.3451027899
40	0.3435041371
41	0.3420282711
42	0.3407398738
43	0.3394157384
44	0.3382144473
45	0.3371286824
46	0.3361279783
47	0.3351385999
48	0.3341101563
49	0.3333427544
50	0.3324261321
51	0.3316003406
52	0.3309595652
53	0.3303307737
54	0.3295761768
55	0.3290230813
56	0.3284219816
57	0.3277836445
58	0.3271960857
59	0.3266838683
60	0.3261137856
61	0.3256024486
62	0.3251102899
63	0.3247362827
64	0.3243366939
65	0.3238991978
66	0.3235694902
67	0.3231838653
68	0.3228519339
69	0.3224446112
70	0.3221133553
71	0.3218250803
72	0.3215273722
73	0.3211964178
74	0.3209729584
75	0.3206682346
76	0.320390019
77	0.3201348941
78	0.3198801036
79	0.319634197
80	0.3193141709
81	0.3191954779
82	0.3188906074
83	0.3186817108
84	0.3184852436
85	0.31831543
86	0.3180695243
87	0.317877779
88	0.3176993801
89	0.3175924224
90	0.3174855525
91	0.3173491149
92	0.3171068796
93	0.3169670164
94	0.3167803887
95	0.3165789572
96	0.3163908964
97	0.3162825367
98	0.3161863009
99	0.3160737061
100	0.3159397959
101	0.3157921516
102	0.3156242925
103	0.315449987
104	0.3151776699
105	0.3150099311
106	0.3148264383
107	0.3147058245
108	0.3145578816
109	0.3144474456
110	0.3144096145
111	0.3142300957
112	0.3141098791
113	0.313967862
114	0.3138590622
115	0.3137638348
116	0.3136633301
117	0.3133800317
118	0.3132111185
119	0.3130374313
120	0.312762574
121	0.3126617213
122	0.3125364921
123	0.3124590104
124	0.3123434777
125	0.3122470249
126	0.3121367329
127	0.3120122031
128	0.3119198914
129	0.3118812006
130	0.3118379372
131	0.311677869
132	0.3115380774
133	0.3113750021
134	0.3112684809
135	0.3111065504
136	0.3110767557
137	0.3109268763
138	0.310802244
139	0.3106108417
140	0.3104957707
141	0.3103158208
142	0.3101640911
143	0.3099949216
144	0.3099413159
145	0.309834906
146	0.3096605694
147	0.3095616449
148	0.3094651056
149	0.3093341084
150	0.3092281487
151	0.3090697126
152	0.3089566698
153	0.3087839626
154	0.3086404196
155	0.3084859689
156	0.3083756831
157	0.3082678236
158	0.3082104855
159	0.3081682244
160	0.3080705287
161	0.307951476
162	0.3078045705
163	0.3076924043
164	0.3076057384
165	0.3074855735
166	0.307351356
167	0.3072678242
168	0.3070923401
169	0.307014692
170	0.306891767
171	0.3068149246
172	0.3067090941
173	0.3065385375
174	0.3064124026
175	0.3062793866
176	0.3061671184
177	0.3060984439
178	0.3059962893
179	0.3058653339
180	0.3058652329
181	0.3057735769
182	0.3057374493
183	0.3056224009
184	0.3054840636
185	0.3054018
186	0.3052795705
187	0.3051546655
188	0.3050074761
189	0.3049308877
190	0.3048222716
191	0.3047218723
192	0.304626343
193	0.3045309438
194	0.3044347495
195	0.3043193468
196	0.3042260502
197	0.3040728945
198	0.303953197
199	0.303842646
200	0.3037377244
201	0.3036353197
202	0.3035756881
203	0.3034729631
