iter	Passed	Remaining
0	68	3422510
1	167	4183790
2	247	4130659
3	313	3913285
4	400	4001084
5	481	4014994
6	558	3988001
7	647	4045734
8	744	4136455
9	830	4152825
10	911	4141218
11	987	4111677
12	1035	3981863
13	1092	3900292
14	1146	3821486
15	1215	3795931
16	1279	3762963
17	1353	3759546
18	1431	3764891
19	1508	3769820
20	1580	3761009
21	1651	3751484
22	1732	3763897
23	1812	3774991
24	1892	3783147
25	1971	3788485
26	2057	3808601
27	2131	3804101
28	2215	3817608
29	2296	3825089
30	2378	3833170
31	2467	3853123
32	2542	3849550
33	2634	3870949
34	2721	3885241
35	2806	3895456
36	2889	3901979
37	2979	3917449
38	3059	3919825
39	3144	3926893
40	3220	3923844
41	3296	3921084
42	3379	3925715
43	3455	3923260
44	3525	3914062
45	3603	3912904
46	3694	3926146
47	3779	3933032
48	3858	3933422
49	3933	3929747
50	4003	3920553
51	4072	3912239
52	4152	3913337
53	4235	3917385
54	4328	3930544
55	4422	3944093
56	4511	3952728
57	4586	3949260
58	4675	3957993
59	4759	3961404
60	4837	3959940
61	4922	3965012
62	5012	3973527
63	5091	3972907
64	5178	3978464
65	5265	3983801
66	5346	3984537
67	5409	3971817
68	5486	3969913
69	5541	3952966
70	5619	3951820
71	5692	3947665
72	5768	3945486
73	5847	3945173
74	5918	3939607
75	6004	3944523
76	6085	3945619
77	6171	3949951
78	6255	3953070
79	6337	3954500
80	6415	3953521
81	6493	3952904
82	6563	3947456
83	6653	3953751
84	6739	3957873
85	6833	3966170
86	6971	3999471
87	7086	4019542
88	7181	4027507
89	7269	4031546
90	7356	4034629
91	7456	4044721
92	7550	4051889
93	7639	4056102
94	7721	4056241
95	7800	4054977
96	7881	4054565
97	7944	4045190
98	7996	4030586
99	8054	4019325
100	8118	4010841
101	8204	4013755
102	8273	4007867
103	8343	4002773
104	8408	3995611
105	8488	3995400
106	8565	3994194
107	8641	3992101
108	8716	3989596
109	8789	3986459
110	8866	3985132
111	8938	3981403
112	9010	3977873
113	9087	3976803
114	9161	3974113
115	9237	3972448
116	9313	3970640
117	9401	3974162
118	9508	3985509
119	9582	3982920
120	9663	3983492
121	9733	3979498
122	9822	3983135
123	9953	4003391
124	10092	4027039
125	10196	4036159
126	10297	4044022
127	10380	4044401
128	10459	4043773
129	10538	4042729
130	10620	4042968
131	10694	4040159
132	10769	4037975
133	10843	4035133
134	10920	4033702
135	11012	4037530
136	11078	4031996
137	11165	4034416
138	11253	4036836
139	11339	4038578
140	11431	4042214
141	11524	4046347
142	11618	4050872
143	11701	4051367
144	11767	4045853
145	11825	4038038
146	11915	4040971
147	11989	4038594
148	12068	4037841
149	12145	4036298
150	12215	4032731
151	12293	4031484
152	12375	4031751
153	12453	4030791
154	12500	4019985
155	12551	4010410
156	12625	4008084
157	12700	4006388
158	12782	4006922
159	12859	4005744
160	12938	4005282
161	13000	3999552
162	13063	3994179
163	13137	3992089
164	13206	3988710
165	13269	3983643
166	13348	3983260
167	13410	3977867
168	13478	3974346
169	13564	3976127
170	13632	3972418
171	13717	3973844
172	13812	3978374
173	13903	3981233
174	13976	3979274
175	14064	3981620
176	14138	3979888
177	14206	3976471
178	14273	3972809
179	14345	3970540
180	14421	3969519
181	14506	3970931
182	14597	3973795
183	14688	3976800
184	14790	3982521
185	14874	3983560
186	14950	3982608
187	15029	3982082
188	15100	3979708
189	15181	3979952
190	15260	3979627
191	15373	3988096
192	15470	3992534
193	15543	3990516
194	15613	3987801
195	15699	3989370
196	15779	3989123
197	15858	3988933
198	15962	3994644
199	16047	3995914
200	16137	3998284
201	16222	3999353
202	16334	4006997
203	16443	4013854
204	16538	4017312
205	16632	4020348
206	16716	4021086
207	16798	4021403
208	16877	4020873
209	16956	4020270
210	17042	4021521
211	17123	4021355
212	17207	4022045
213	17304	4025826
214	17399	4029055
215	17479	4028723
216	17560	4028745
217	17654	4031580
218	17745	4033637
219	17836	4035939
220	17926	4037840
221	18015	4039463
222	18107	4041827
223	18210	4046577
224	18288	4045774
225	18367	4045308
226	18440	4043248
227	18508	4040475
228	18596	4041745
229	18690	4044417
230	18785	4047305
231	18876	4049326
232	18969	4051708
233	19052	4052099
234	19135	4052337
235	19232	4055359
236	19321	4056869
237	19410	4058397
238	19510	4062230
239	19602	4064178
240	19687	4064832
241	19759	4062763
242	19837	4062031
243	19929	4063979
244	20008	4063417
245	20092	4063794
246	20162	4061398
247	20251	4062780
248	20351	4066224
249	20432	4066013
250	20506	4064361
251	20584	4063574
252	20652	4060844
253	20724	4058993
254	20803	4058249
255	20894	4060109
256	20965	4057968
257	21042	4057045
258	21120	4056283
259	21201	4056036
260	21283	4055943
261	21368	4056508
262	21449	4056317
263	21526	4055503
264	21616	4056920
265	21693	4055971
266	21765	4054119
267	21829	4050797
268	21903	4049318
269	21981	4048728
270	22058	4047825
271	22144	4048516
272	22246	4052210
273	22338	4054115
274	22429	4055683
275	22519	4057180
276	22597	4056390
277	22676	4055787
278	22764	4056874
279	22839	4055691
280	22933	4057774
281	23026	4059689
282	23109	4059762
283	23186	4058907
284	23261	4057774
285	23344	4057882
286	23431	4058647
287	23513	4058632
288	23603	4060066
289	23670	4057421
290	23742	4055766
291	23821	4055171
292	23894	4053698
293	23979	4054215
294	24064	4054710
295	24143	4054119
296	24225	4054073
297	24315	4055487
298	24395	4055114
299	24479	4055468
300	24558	4054930
301	24630	4053219
302	24719	4054411
303	24785	4051758
304	24849	4048862
305	24918	4046735
306	24987	4044665
307	25075	4045560
308	25150	4044501
309	25223	4043006
310	25271	4037685
311	25326	4033471
312	25376	4028335
313	25441	4025712
314	25493	4021163
315	25557	4018277
316	25627	4016546
317	25694	4014246
318	25756	4011254
319	25829	4009973
320	25902	4008750
321	25980	4008274
322	26059	4007924
323	26141	4008090
324	26236	4010095
325	26326	4011466
326	26410	4011925
327	26474	4009321
328	26545	4007702
329	26630	4008357
330	26709	4007925
331	26797	4008924
332	26886	4010141
333	26949	4007451
334	27034	4007894
335	27115	4007895
336	27192	4007343
337	27262	4005583
338	27339	4004998
339	27414	4004133
340	27483	4002315
341	27563	4002249
342	27637	4001102
343	27715	4000671
344	27786	3999294
345	27863	3998662
346	27934	3997271
347	28008	3996183
348	28074	3994101
349	28129	3990342
350	28192	3987767
351	28255	3985282
352	28320	3983014
353	28379	3980068
354	28445	3977933
355	28510	3975777
356	28574	3973414
357	28641	3971621
358	28709	3969788
359	28780	3968540
360	28857	3967995
361	28948	3969524
362	29043	3971437
363	29117	3970602
364	29190	3969554
365	29264	3968567
366	29341	3968098
367	29413	3966940
368	29488	3966198
369	29556	3964602
370	29624	3962854
371	29694	3961465
372	29767	3960507
373	29830	3958156
374	29902	3957085
375	29973	3955902
376	30056	3956179
377	30134	3955886
378	30208	3955080
379	30285	3954598
380	30355	3953267
381	30425	3951978
382	30510	3952539
383	30581	3951373
384	30661	3951341
385	30736	3950697
386	30822	3951421
387	30897	3950690
388	30976	3950525
389	31055	3950447
390	31138	3950769
391	31222	3951240
392	31297	3950512
393	31381	3951013
394	31462	3951127
395	31551	3952240
396	31644	3953755
397	31732	3954755
398	31815	3955139
399	31884	3953700
400	31961	3953316
401	32050	3954289
402	32134	3954810
403	32226	3956259
404	32299	3955294
405	32377	3955043
406	32453	3954513
407	32528	3953783
408	32607	3953668
409	32684	3953281
410	32770	3953924
411	32864	3955525
412	32956	3956956
413	33034	3956692
414	33105	3955487
415	33190	3956046
416	33277	3956830
417	33374	3958836
418	33440	3957100
419	33513	3956160
420	33590	3955742
421	33664	3954976
422	33732	3953511
423	33810	3953276
424	33883	3952403
425	33956	3951515
426	34036	3951539
427	34118	3951654
428	34190	3950766
429	34257	3949214
430	34338	3949205
431	34405	3947752
432	34461	3944937
433	34512	3941556
434	34569	3938885
435	34617	3935325
436	34687	3934095
437	34755	3932818
438	34813	3930307
439	34863	3926919
440	34953	3928037
441	35050	3929929
442	35135	3930548
443	35228	3931965
444	35303	3931351
445	35399	3933187
446	35484	3933682
447	35583	3935812
448	35670	3936508
449	35757	3937325
450	35828	3936263
451	35907	3936131
452	35976	3934972
453	36043	3933550
454	36113	3932427
455	36191	3932187
456	36270	3932059
457	36336	3930553
458	36411	3929998
459	36491	3929977
460	36569	3929799
461	36641	3928866
462	36715	3928260
463	36776	3926171
464	36840	3924549
465	36914	3923892
466	36987	3923121
467	37060	3922441
468	37146	3923012
469	37233	3923776
470	37315	3923986
471	37400	3924480
472	37479	3924379
473	37568	3925396
474	37660	3926570
475	37732	3925783
476	37807	3925267
477	37881	3924619
478	37956	3924071
479	38027	3923143
480	38093	3921751
481	38168	3921241
482	38241	3920509
483	38311	3919534
484	38388	3919224
485	38466	3918951
486	38539	3918328
487	38617	3918082
488	38694	3917809
489	38771	3917490
490	38850	3917412
491	38926	3917017
492	39005	3916959
493	39087	3917100
494	39161	3916504
495	39245	3916970
496	39324	3916890
497	39416	3918111
498	39510	3919462
499	39615	3921915
500	39718	3924199
501	39785	3922871
502	39872	3923623
503	39963	3924674
504	40043	3924643
505	40120	3924314
506	40203	3924593
507	40286	3924967
508	40374	3925721
509	40464	3926608
510	40522	3924540
511	40596	3923927
512	40665	3922799
513	40734	3921802
514	40797	3920105
515	40867	3919150
516	40932	3917700
517	40984	3915062
518	41040	3912803
519	41102	3911102
520	41166	3909559
521	41230	3908050
522	41314	3908407
523	41389	3907982
524	41473	3908372
525	41556	3908653
526	41638	3908855
527	41720	3909109
528	41802	3909307
529	41906	3911544
530	41997	3912535
531	42076	3912445
532	42152	3912079
533	42234	3912298
534	42310	3911975
535	42387	3911692
536	42456	3910708
537	42530	3910144
538	42606	3909748
539	42685	3909680
540	42761	3909302
541	42835	3908753
542	42908	3908178
543	42986	3907981
544	43057	3907181
545	43138	3907274
546	43218	3907281
547	43303	3907740
548	43393	3908692
549	43489	3910105
550	43572	3910363
551	43656	3910737
552	43728	3910041
553	43800	3909342
554	43871	3908498
555	43944	3907921
556	44039	3909240
557	44139	3910998
558	44225	3911543
559	44294	3910589
560	44376	3910760
561	44457	3910865
562	44525	3909821
563	44598	3909181
564	44667	3908194
565	44735	3907178
566	44799	3905790
567	44859	3904049
568	44919	3902350
569	44988	3901338
570	45060	3900708
571	45135	3900296
572	45211	3899959
573	45286	3899524
574	45373	3900139
575	45448	3899753
576	45536	3900401
577	45627	3901394
578	45718	3902376
579	45800	3902486
580	45883	3902770
581	45971	3903437
582	46049	3903265
583	46134	3903726
584	46269	3908385
585	46353	3908753
586	46439	3909235
587	46527	3909869
588	46607	3909876
589	46676	3908956
590	46743	3907877
591	46815	3907196
592	46887	3906505
593	46961	3906001
594	47031	3905166
595	47099	3904165
596	47176	3903946
597	47235	3902203
598	47296	3900661
599	47346	3898156
600	47400	3896053
601	47462	3894645
602	47526	3893273
603	47589	3891975
604	47653	3890658
605	47717	3889400
606	47795	3889252
607	47866	3888556
608	47939	3887962
609	48029	3888804
610	48107	3888680
611	48198	3889558
612	48283	3890006
613	48361	3889856
614	48456	3891076
615	48536	3891098
616	48616	3891111
617	48702	3891627
618	48780	3891483
619	48862	3891622
620	48947	3892114
621	49027	3892108
622	49109	3892275
623	49184	3891846
624	49260	3891574
625	49345	3891952
626	49437	3892974
627	49511	3892517
628	49589	3892321
629	49670	3892441
630	49749	3892399
631	49819	3891571
632	49911	3892516
633	49994	3892816
634	50073	3892732
635	50153	3892731
636	50224	3892016
637	50291	3891016
638	50360	3890242
639	50437	3890028
640	50531	3891105
641	50617	3891568
642	50709	3892519
643	50780	3891819
644	50857	3891585
645	50933	3891305
646	50999	3890258
647	51077	3890094
648	51142	3888980
649	51221	3888879
650	51311	3889655
651	51400	3890347
652	51479	3890297
653	51556	3890103
654	51634	3889941
655	51707	3889410
656	51773	3888361
657	51857	3888707
658	51939	3888825
659	52019	3888828
660	52111	3889773
661	52201	3890482
662	52273	3889907
663	52356	3890178
664	52434	3890001
665	52507	3889481
666	52580	3889003
667	52660	3889000
668	52756	3890179
669	52851	3891259
670	52934	3891523
671	53007	3891002
672	53070	3889731
673	53148	3889614
674	53226	3889478
675	53301	3889130
676	53386	3889495
677	53468	3889648
678	53554	3890065
679	53639	3890406
680	53720	3890483
681	53797	3890312
682	53872	3889908
683	53951	3889869
684	54045	3890895
685	54121	3890620
686	54208	3891063
687	54289	3891133
688	54380	3891967
689	54463	3892160
690	54545	3892332
691	54617	3891735
692	54695	3891615
693	54783	3892168
694	54875	3893031
695	54981	3894870
696	55062	3894913
697	55143	3894973
698	55224	3895040
699	55305	3895102
700	55386	3895177
701	55471	3895497
702	55556	3895862
703	55648	3896692
704	55734	3897081
705	55819	3897431
706	55903	3897692
707	55991	3898190
708	56070	3898096
709	56143	3897625
710	56223	3897588
711	56310	3898058
712	56397	3898525
713	56488	3899296
714	56586	3900510
715	56672	3900909
716	56753	3900944
717	56827	3900496
718	56908	3900591
719	56993	3900897
720	57064	3900250
721	57147	3900454
722	57222	3900091
723	57303	3900153
724	57390	3900579
725	57465	3900243
726	57550	3900520
727	57634	3900750
728	57720	3901166
729	57813	3902016
730	57897	3902286
731	57972	3901894
732	58042	3901170
733	58119	3900945
734	58197	3900787
735	58270	3900333
736	58347	3900089
737	58419	3899546
738	58497	3899408
739	58585	3899887
740	58689	3901447
741	58751	3900247
742	58828	3900041
743	58903	3899680
744	58984	3899702
745	59071	3900136
746	59165	3901029
747	59255	3901650
748	59353	3902813
749	59446	3903663
750	59538	3904437
751	59625	3904809
752	59706	3904897
753	59781	3904528
754	59864	3904651
755	59938	3904249
756	60020	3904361
757	60097	3904146
758	60180	3904273
759	60256	3903971
760	60334	3903848
761	60409	3903465
762	60496	3903907
763	60575	3903758
764	60648	3903296
765	60723	3902931
766	60803	3902946
767	60884	3902942
768	60969	3903235
769	61049	3903234
770	61127	3903016
771	61203	3902776
772	61273	3902100
773	61374	3903375
774	61461	3903814
775	61538	3903565
776	61620	3903639
777	61707	3904094
778	61791	3904310
779	61875	3904529
780	61950	3904127
781	62018	3903351
782	62107	3903907
783	62184	3903691
784	62276	3904395
785	62354	3904209
786	62416	3903073
787	62493	3902827
788	62568	3902460
789	62649	3902491
790	62731	3902582
791	62811	3902553
792	62885	3902165
793	62964	3902052
794	63035	3901477
795	63106	3900868
796	63174	3900083
797	63260	3900458
798	63346	3900745
799	63474	3903691
800	63570	3904642
801	63659	3905152
802	63735	3904843
803	63818	3904998
804	63894	3904706
805	63973	3904579
806	64048	3904273
807	64122	3903878
808	64200	3903673
809	64281	3903714
810	64365	3903907
811	64450	3904194
812	64540	3904733
813	64624	3904939
814	64704	3904905
815	64775	3904311
816	64857	3904373
817	64951	3905167
818	65044	3905934
819	65137	3906667
820	65227	3907205
821	65297	3906551
822	65364	3905723
823	65436	3905241
824	65510	3904816
825	65589	3904747
826	65668	3904636
827	65764	3905510
828	65851	3905871
829	65930	3905793
830	66016	3906117
831	66104	3906536
832	66189	3906756
833	66269	3906751
834	66349	3906673
835	66436	3907013
836	66518	3907097
837	66601	3907214
838	66681	3907191
839	66761	3907163
840	66845	3907318
841	66931	3907627
842	67014	3907747
843	67100	3908059
844	67178	3907861
845	67252	3907509
846	67324	3906993
847	67403	3906833
848	67488	3907099
849	67580	3907717
850	67673	3908433
851	67786	3910267
852	67884	3911305
853	67982	3912254
854	68055	3911789
855	68126	3911248
856	68206	3911197
857	68287	3911191
858	68374	3911488
859	68468	3912232
860	68548	3912193
861	68628	3912167
862	68701	3911710
863	68773	3911168
864	68844	3910625
865	68914	3909970
866	69000	3910245
867	69074	3909895
868	69147	3909408
869	69226	3909281
870	69311	3909549
871	69393	3909599
872	69484	3910136
873	69559	3909828
874	69627	3909089
875	69702	3908763
876	69781	3908651
877	69863	3908689
878	69967	3910005
879	70068	3911079
880	70156	3911501
881	70227	3910940
882	70308	3910896
883	70404	3911742
884	70510	3913124
885	70602	3913741
886	70694	3914362
887	70782	3914700
888	70869	3915050
889	70954	3915236
890	71033	3915159
891	71117	3915266
